pos_0 ,pos_1 ,pos_2 ,pos_3 ,pos_4 ,pos_5 ,pos_6 ,pos_7 ,pos_8 ,label
-1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,Draw
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,Lose
1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,Lose
0.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,Win
0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,Draw
1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,Draw
0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,-1.0,Draw
-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,1.0,Win
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,Draw
1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,Lose
0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,Win
0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,Lose
-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,Lose
1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,Win
-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,Lose
0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,1.0,Lose
-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,Win
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,Lose
-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,Lose
-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,Draw
1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,Lose
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Win
1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,Lose
0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,Lose
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,Lose
1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,Lose
0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,Draw
-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0,Lose
1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,Lose
1.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,Draw
0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,Win
-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,Draw
1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,Lose
-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,Lose
-1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,Win
-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,Draw
0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,Lose
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Lose
0.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,Win
1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,Lose
1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,Draw
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Win
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Draw
-1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,Draw
-1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,Win
1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,0.0,Lose
-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,Draw
1.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,Draw
-1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,Win
1.0,-1.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,Draw
1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,Lose
1.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,Lose
-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,Win
